0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000020
0x800000d4:sb     t0,0x000(a1)        mem[0x80000150]=0x20
0x800000d8:addi   a1,a1,0x001         a1=0x80000150+0x00000001=0x80000151
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000073
0x800000d4:sb     t0,0x000(a1)        mem[0x80000151]=0x73
0x800000d8:addi   a1,a1,0x001         a1=0x80000151+0x00000001=0x80000152
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000061
0x800000d4:sb     t0,0x000(a1)        mem[0x80000152]=0x61
0x800000d8:addi   a1,a1,0x001         a1=0x80000152+0x00000001=0x80000153
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000079
0x800000d4:sb     t0,0x000(a1)        mem[0x80000153]=0x79
0x800000d8:addi   a1,a1,0x001         a1=0x80000153+0x00000001=0x80000154
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000073
0x800000d4:sb     t0,0x000(a1)        mem[0x80000154]=0x73
0x800000d8:addi   a1,a1,0x001         a1=0x80000154+0x00000001=0x80000155
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x0000003a
0x800000d4:sb     t0,0x000(a1)        mem[0x80000155]=0x3a
0x800000d8:addi   a1,a1,0x001         a1=0x80000155+0x00000001=0x80000156
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000020
0x800000d4:sb     t0,0x000(a1)        mem[0x80000156]=0x20
0x800000d8:addi   a1,a1,0x001         a1=0x80000156+0x00000001=0x80000157
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000060
0x800000e0:andi   t0,t0,0x001         t0=0x00000060&0x00000001=0x00000000
0x800000e4:bne    t0,zero,0xff6       (0x00000000!=0x00000000)=0->pc=0x800000e8
0x800000e8:sb     zero,0x000(a1)      mem[0x80000157]=0x00
0x800000ec:jalr   zero,ra,0x000       pc=0x80000108+0x00000000,zero=0x800000f0
0x80000108:auipc  a1,0x00000          a1=0x80000108+0x00000000=0x80000108
0x8000010c:addi   a1,a1,0x038         a1=0x80000108+0x00000038=0x80000140
0x80000110:jal    ra,0xfffd4          pc=0x800000b8,ra=0x80000114
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000140]=0x00000050
0x800000bc:beq    t0,zero,0x008       (0x00000050==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x50
0x800000c4:addi   a1,a1,0x001         a1=0x80000140+0x00000001=0x80000141
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000141]=0x0000006f
0x800000bc:beq    t0,zero,0x008       (0x0000006f==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6f
0x800000c4:addi   a1,a1,0x001         a1=0x80000141+0x00000001=0x80000142
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000142]=0x00000078
0x800000bc:beq    t0,zero,0x008       (0x00000078==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x78
0x800000c4:addi   a1,a1,0x001         a1=0x80000142+0x00000001=0x80000143
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000143]=0x00000069
0x800000bc:beq    t0,zero,0x008       (0x00000069==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x69
0x800000c4:addi   a1,a1,0x001         a1=0x80000143+0x00000001=0x80000144
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000144]=0x0000006d
0x800000bc:beq    t0,zero,0x008       (0x0000006d==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6d
0x800000c4:addi   a1,a1,0x001         a1=0x80000144+0x00000001=0x80000145
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000145]=0x0000002d
0x800000bc:beq    t0,zero,0x008       (0x0000002d==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x2d
0x800000c4:addi   a1,a1,0x001         a1=0x80000145+0x00000001=0x80000146
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000146]=0x00000056
0x800000bc:beq    t0,zero,0x008       (0x00000056==0x00000000)=0->pc=0x800000c0
